Generation: 194; Difference: 134.83167636609238; Time: 11091126463298;
Generation: 195; Difference: 134.80580939613932; Time: 11146185618645;
Generation: 196; Difference: 134.79477719113532; Time: 11199230964106;
Generation: 197; Difference: 134.79477719113532; Time: 11259390002904;
Generation: 198; Difference: 134.7923156313871; Time: 11318023035548;
Generation: 199; Difference: 134.77881151519057; Time: 11382864642461;
Generation: 200; Difference: 134.75949887004467; Time: 11444172279312;
Generation: 201; Difference: 134.74848184101916; Time: 11501273853773;
Generation: 202; Difference: 134.74848184101916; Time: 11568255304097;
Generation: 203; Difference: 134.74480524471358; Time: 11641983021914;
Generation: 204; Difference: 134.7393436358482; Time: 11718005146953;
Generation: 205; Difference: 134.7393436358482; Time: 11778660900060;
Generation: 206; Difference: 134.72106588979477; Time: 11834411876225;
Generation: 207; Difference: 134.7145266436113; Time: 11892856161958;
Generation: 208; Difference: 134.7145266436113; Time: 11951561259517;
Generation: 209; Difference: 134.7145266436113; Time: 12013176567407;
Generation: 210; Difference: 134.7145266436113; Time: 12078569469175;
Generation: 211; Difference: 134.70420902985506; Time: 12140474473215;
Generation: 212; Difference: 134.70159123251852; Time: 12202367594075;
Generation: 213; Difference: 134.69461560493585; Time: 12254797115937;
Generation: 214; Difference: 134.69461560493585; Time: 12310749315934;
Generation: 215; Difference: 134.69050261299282; Time: 12366035068825;
Generation: 216; Difference: 134.67779378590254; Time: 12423892673133;
Generation: 217; Difference: 134.67779378590254; Time: 12492825709180;
Generation: 218; Difference: 134.66001320602464; Time: 12555120632876;
Generation: 219; Difference: 134.6524272384046; Time: 12616187244002;
Generation: 220; Difference: 134.63724972842698; Time: 12678916993483;
Generation: 221; Difference: 134.63724972842698; Time: 12738783377313;
Generation: 222; Difference: 134.62919540739475; Time: 12800738405891;
Generation: 223; Difference: 134.6267236512474; Time: 12856543747073;
Generation: 224; Difference: 134.62617533249528; Time: 12914401487390;
Generation: 225; Difference: 134.61856400912507; Time: 12973726885437;
Generation: 226; Difference: 134.59089157721831; Time: 13032873678592;
Generation: 227; Difference: 134.57547453304662; Time: 13090282493858;
Generation: 228; Difference: 134.56303189496325; Time: 13148192294140;
Generation: 229; Difference: 134.55826306438794; Time: 13207350254900;
Generation: 230; Difference: 134.55657520707607; Time: 13267984449139;
Generation: 231; Difference: 134.55657520707607; Time: 13330166629262;
Generation: 232; Difference: 134.55308229735576; Time: 13403933257162;
Generation: 233; Difference: 134.55308229735576; Time: 13472584141756;
Generation: 234; Difference: 134.55308229735576; Time: 13539283339464;
Generation: 235; Difference: 134.54564934383697; Time: 13600450100775;
Generation: 236; Difference: 134.5443695228466; Time: 13663851372205;
Generation: 237; Difference: 134.5443695228466; Time: 13727849900756;
Generation: 238; Difference: 134.5285908116117; Time: 13795651972261;
Generation: 239; Difference: 134.5285908116117; Time: 13857751913658;
Generation: 240; Difference: 134.52658015529877; Time: 13911356970309;
Generation: 241; Difference: 134.52658015529877; Time: 13963381509507;
Generation: 242; Difference: 134.51406150119263; Time: 14015567893093;
Generation: 243; Difference: 134.51127428358305; Time: 14071684696125;
Generation: 244; Difference: 134.49293849800762; Time: 14128541545849;
Generation: 245; Difference: 134.4815343780851; Time: 14180745967584;
Generation: 246; Difference: 134.4723171405492; Time: 14236988804715;
Generation: 247; Difference: 134.4723171405492; Time: 14305433068333;
Generation: 248; Difference: 134.4557715519553; Time: 14369826696055;
Generation: 249; Difference: 134.45002373992722; Time: 14434254828386;
Generation: 250; Difference: 134.4412324423625; Time: 14499424729183;
Generation: 251; Difference: 134.44045032649393; Time: 14557830613168;
Generation: 252; Difference: 134.43400418087137; Time: 14633894977728;
Generation: 253; Difference: 134.4260300230577; Time: 14699592073249;
Generation: 254; Difference: 134.41933028594772; Time: 14760411770089;
Generation: 255; Difference: 134.41933028594772; Time: 14819089881326;
